Date,Total,day,holiday,holiday_type,before_cases,after_cases
1/30/2020,1,Thursday,Basant Panchami / Sri Panchami (R),Restricted,0,0
1/31/2020,1,NA,NA,NA,0,0
2/1/2020,2,NA,NA,NA,0,0
2/2/2020,3,NA,NA,NA,0,0
2/3/2020,3,NA,NA,NA,0,0
2/4/2020,3,NA,NA,NA,0,0
2/5/2020,3,NA,NA,NA,0,0
2/6/2020,3,NA,NA,NA,0,0
2/7/2020,3,NA,NA,NA,0,0
2/8/2020,3,NA,NA,NA,0,0
2/9/2020,3,Sunday,Guru Ravidas's Birthday (R),Restricted,28,264
2/10/2020,3,NA,NA,NA,30,316
2/11/2020,3,NA,NA,NA,32,370
2/12/2020,3,NA,NA,NA,33,438
2/13/2020,3,NA,NA,NA,33,514
2/14/2020,3,NA,NA,NA,33,587
2/15/2020,3,NA,NA,NA,33,683
2/16/2020,3,NA,NA,NA,33,783
2/17/2020,3,NA,NA,NA,33,0
2/18/2020,3,Tuesday,Swami Dayananda Saraswati Jayanti (R),Restricted,55,903
2/19/2020,3,Wednesday,Shivaji Jayanti (R),Restricted,57,1040
2/20/2020,3,NA,NA,NA,59,1194
2/21/2020,3,Friday,Maha Shivaratri (R),Restricted,60,1395
2/22/2020,3,NA,NA,NA,60,1656
2/23/2020,3,NA,NA,NA,60,1996
2/24/2020,3,NA,NA,NA,60,2409
2/25/2020,3,NA,NA,NA,60,2894
2/26/2020,3,NA,NA,NA,60,3464
2/27/2020,3,NA,NA,NA,60,4125
2/28/2020,3,NA,NA,NA,60,4796
2/29/2020,3,NA,NA,NA,60,5641
3/1/2020,3,NA,NA,NA,60,6593
3/2/2020,5,NA,NA,NA,62,7770
3/3/2020,3,NA,NA,NA,62,9073
3/4/2020,25,NA,NA,NA,84,10801
3/5/2020,27,NA,NA,NA,108,12742
3/6/2020,28,NA,NA,NA,133,15161
3/7/2020,31,NA,NA,NA,161,18067
3/8/2020,36,NA,NA,NA,194,21421
3/9/2020,43,Monday,Holika Dahan/Dolyatra/Hazarat Ali's Birthday (R),Restricted,264,40586
3/10/2020,55,Tuesday,Holi (G),Gazetted,316,46994
3/11/2020,57,NA,NA,NA,370,54057
3/12/2020,71,NA,NA,NA,438,61955
3/13/2020,79,NA,NA,NA,514,70580
3/14/2020,76,NA,NA,NA,587,80479
