Date,Total,day,holiday,holiday_type,before_cases,after_cases
2020-01-30,1,Thursday,Basant Panchami / Sri Panchami (R),Restricted,0,0
2020-01-31,1,NA,NA,NA,0,0
2020-02-01,2,NA,NA,NA,0,0
2020-02-02,3,NA,NA,NA,0,0
2020-02-03,3,NA,NA,NA,0,0
2020-02-04,3,NA,NA,NA,0,0
2020-02-05,3,NA,NA,NA,0,0
2020-02-06,3,NA,NA,NA,0,0
2020-02-07,3,NA,NA,NA,0,0
2020-02-08,3,NA,NA,NA,0,0
2020-02-09,3,Sunday,Guru Ravidas's Birthday (R),Restricted,0,0
2020-02-10,3,NA,NA,NA,0,0
2020-02-11,3,NA,NA,NA,0,0
2020-02-12,3,NA,NA,NA,0,0
2020-02-13,3,NA,NA,NA,0,0
2020-02-14,3,NA,NA,NA,0,0
2020-02-15,3,NA,NA,NA,0,0
2020-02-16,3,NA,NA,NA,0,0
2020-02-17,3,NA,NA,NA,0,0
2020-02-18,3,Tuesday,Swami Dayananda Saraswati Jayanti (R),Restricted,0,0
2020-02-19,3,Wednesday,Shivaji Jayanti (R),Restricted,0,0
2020-02-20,3,NA,NA,NA,0,0
2020-02-21,3,Friday,Maha Shivaratri (R),Restricted,0,0
2020-02-22,3,NA,NA,NA,0,0
2020-02-23,3,NA,NA,NA,0,0
2020-02-24,3,NA,NA,NA,0,0
2020-02-25,3,NA,NA,NA,0,0
2020-02-26,3,NA,NA,NA,0,0
2020-02-27,3,NA,NA,NA,0,0
2020-02-28,3,NA,NA,NA,0,0
2020-02-29,3,NA,NA,NA,0,0
2020-03-01,3,NA,NA,NA,0,0
2020-03-02,5,NA,NA,NA,0,0
2020-03-03,3,NA,NA,NA,0,0
2020-03-04,25,NA,NA,NA,0,0
2020-03-05,27,NA,NA,NA,0,0
2020-03-06,28,NA,NA,NA,0,0
2020-03-07,31,NA,NA,NA,0,0
2020-03-08,36,NA,NA,NA,0,0
2020-03-09,43,Monday,Holika Dahan/Dolyatra/Hazarat Ali's Birthday (R),Restricted,0,0
2020-03-10,55,Tuesday,Holi (G),Gazetted,0,0
2020-03-11,57,NA,NA,NA,0,0
2020-03-12,71,NA,NA,NA,0,0
2020-03-13,79,NA,NA,NA,0,0
2020-03-14,76,NA,NA,NA,0,0
2020-03-15,99,NA,NA,NA,0,0
2020-03-16,103,NA,NA,NA,0,0
2020-03-17,126,NA,NA,NA,0,0
2020-03-18,140,NA,NA,NA,0,0
2020-03-19,157,NA,NA,NA,0,0
2020-03-20,204,NA,NA,NA,0,0
2020-03-21,264,NA,NA,NA,0,0
2020-03-22,343,NA,NA,NA,0,0
2020-03-23,416,NA,NA,NA,0,0
2020-03-24,488,NA,NA,NA,0,0
2020-03-25,573,Wednesday,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted,0,0
2020-03-26,664,NA,NA,NA,0,0
2020-03-27,674,NA,NA,NA,0,0
2020-03-28,848,NA,NA,NA,0,0
2020-03-29,955,NA,NA,NA,0,0
2020-03-30,1180,NA,NA,NA,0,0
2020-03-31,1308,NA,NA,NA,0,0
2020-04-01,1731,NA,NA,NA,0,0
2020-04-02,1966,Thursday,Ram Navami (G),Gazetted,0,0
2020-04-03,2446,NA,NA,NA,0,0
2020-04-04,2934,NA,NA,NA,0,0
2020-04-05,3385,NA,NA,NA,0,0
2020-04-06,4073,Monday,Mahavir Jayanti (G),Gazetted,0,0
2020-04-07,4560,NA,NA,NA,0,0
2020-04-08,5012,NA,NA,NA,0,0
2020-04-09,5556,NA,NA,NA,0,0
2020-04-10,6451,Friday,Good Friday (G),Gazetted,0,0
2020-04-11,7118,NA,NA,NA,0,0
2020-04-12,7955,Sunday,Easter Sunday (R),Restricted,0,0
2020-04-13,8696,Monday,Vaisakhi/Vishu (R),Restricted,0,0
2020-04-14,9978,Tuesday,Mesadi/Vaisakhadi (Bengal)/Bahag Bihu (Assam) (R),Restricted,0,0
2020-04-15,10981,NA,NA,NA,0,0
2020-04-16,11664,NA,NA,NA,0,0
2020-04-17,12520,NA,NA,NA,0,0
2020-04-18,13265,NA,NA,NA,0,0
2020-04-19,14333,NA,NA,NA,0,0
2020-04-20,15373,NA,NA,NA,0,0
2020-04-21,16328,NA,NA,NA,0,0
2020-04-22,17163,NA,NA,NA,0,0
2020-04-23,18061,NA,NA,NA,0,0
2020-04-24,19361,NA,NA,NA,0,0
2020-04-25,20462,NA,NA,NA,0,0
2020-04-26,21517,NA,NA,NA,0,0
2020-04-27,22684,NA,NA,NA,0,0
2020-04-28,23744,NA,NA,NA,0,0
2020-04-29,24920,NA,NA,NA,0,0
2020-04-30,26032,NA,NA,NA,0,0
2020-05-01,27059,NA,NA,NA,0,0
2020-05-02,28424,NA,NA,NA,0,0
2020-05-03,30543,NA,NA,NA,0,0
2020-05-04,32463,NA,NA,NA,0,0
2020-05-05,35133,NA,NA,NA,0,0
2020-05-06,36902,NA,NA,NA,0,0
2020-05-07,39468,Thursday,Buddha Purnima (G),Gazetted,0,0
2020-05-08,41688,Friday,Guru Rabindranath's Birthday (R),Restricted,0,0
2020-05-09,43796,NA,NA,NA,0,0
2020-05-10,45690,NA,NA,NA,0,0
2020-05-11,48441,NA,NA,NA,0,0
2020-05-12,50594,NA,NA,NA,0,0
2020-05-13,52310,NA,NA,NA,0,0
2020-05-14,54317,NA,NA,NA,0,0
2020-05-15,56699,NA,NA,NA,0,0
2020-05-16,58309,NA,NA,NA,0,0
2020-05-17,59400,NA,NA,NA,0,0
2020-05-18,61964,NA,NA,NA,0,0
2020-05-19,64314,NA,NA,NA,0,0
2020-05-20,67755,NA,NA,NA,0,0
2020-05-21,70494,NA,NA,NA,0,0
2020-05-22,73496,Friday,Jamat-Ul-Vida (R),Restricted,0,0
2020-05-23,77037,NA,NA,NA,0,0
2020-05-24,81294,NA,NA,NA,0,0
2020-05-25,85145,Monday,Id-ul- Fitr (G),Gazetted,0,0
2020-05-26,89056,NA,NA,NA,0,0
2020-05-27,91678,NA,NA,NA,0,0
2020-05-28,95172,NA,NA,NA,0,0
2020-05-29,99399,NA,NA,NA,0,0
2020-05-30,96364,NA,NA,NA,0,0
2020-05-31,100323,NA,NA,NA,0,0
2020-06-01,104110,NA,NA,NA,0,0
2020-06-02,108777,NA,NA,NA,0,0
2020-06-03,113127,NA,NA,NA,0,0
2020-06-04,118887,NA,NA,NA,0,0
2020-06-05,123656,NA,NA,NA,0,0
2020-06-06,129226,NA,NA,NA,0,0
2020-06-07,134264,NA,NA,NA,0,0
2020-06-08,139651,NA,NA,NA,0,0
2020-06-09,144849,NA,NA,NA,0,0
2020-06-10,149122,NA,NA,NA,0,0
2020-06-11,153652,NA,NA,NA,0,0
2020-06-12,158838,NA,NA,NA,0,0
2020-06-13,163547,NA,NA,NA,0,0
2020-06-14,167738,NA,NA,NA,0,0
2020-06-15,172146,NA,NA,NA,0,0
2020-06-16,172978,NA,NA,NA,0,0
2020-06-17,179033,NA,NA,NA,0,0
2020-06-18,184858,NA,NA,NA,0,0
2020-06-19,188394,NA,NA,NA,0,0
2020-06-20,194165,NA,NA,NA,0,0
2020-06-21,195959,NA,NA,NA,0,0
2020-06-22,201785,NA,NA,NA,0,0
2020-06-23,206036,Tuesday,Rath Yatra (R),Restricted,0,0
2020-06-24,211974,NA,NA,NA,0,0
2020-06-25,216302,NA,NA,NA,0,0
2020-06-26,220065,NA,NA,NA,0,0
2020-06-27,228757,NA,NA,NA,0,0
2020-06-28,235241,NA,NA,NA,0,0
2020-06-29,243070,NA,NA,NA,0,0
2020-06-30,248911,NA,NA,NA,0,0
2020-07-01,254914,NA,NA,NA,0,0
2020-07-02,262615,NA,NA,NA,0,0
2020-07-03,263865,NA,NA,NA,0,0
2020-07-04,272743,NA,NA,NA,0,0
2020-07-05,283350,NA,NA,NA,0,0
2020-07-06,292673,NA,NA,NA,0,0
2020-07-07,299877,NA,NA,NA,0,0
2020-07-08,306228,NA,NA,NA,0,0
2020-07-09,312047,NA,NA,NA,0,0
2020-07-10,319890,NA,NA,NA,0,0
2020-07-11,327653,NA,NA,NA,0,0
2020-07-12,337606,NA,NA,NA,0,0
2020-07-13,347957,NA,NA,NA,0,0
2020-07-14,359019,NA,NA,NA,0,0
2020-07-15,368458,NA,NA,NA,0,0
2020-07-16,380976,NA,NA,NA,0,0
2020-07-17,393677,NA,NA,NA,0,0
2020-07-18,411238,NA,NA,NA,0,0
2020-07-19,427011,NA,NA,NA,0,0
2020-07-20,445453,NA,NA,NA,0,0
2020-07-21,458697,NA,NA,NA,0,0
2020-07-22,468597,NA,NA,NA,0,0
2020-07-23,485889,NA,NA,NA,0,0
2020-07-24,501337,NA,NA,NA,0,0
2020-07-25,518787,NA,NA,NA,0,0
2020-07-26,532008,NA,NA,NA,0,0
2020-07-27,550656,NA,NA,NA,0,0
2020-07-28,563838,NA,NA,NA,0,0
2020-07-29,577833,NA,NA,NA,0,0
2020-07-30,598178,NA,NA,NA,0,0
2020-07-31,616812,NA,NA,NA,0,0
2020-08-01,638125,Saturday,Id-ul-Zuha (Bakrid) (G),Gazetted,0,0
2020-08-02,642458,NA,NA,NA,0,0
2020-08-03,655627,Monday,Raksha Bandhan (R),Restricted,0,0
2020-08-04,664174,NA,NA,NA,0,0
2020-08-05,665834,NA,NA,NA,0,0
2020-08-06,676899,NA,NA,NA,0,0
2020-08-07,690554,NA,NA,NA,0,0
2020-08-08,704124,NA,NA,NA,0,0
2020-08-09,715505,NA,NA,NA,0,0
2020-08-10,723717,NA,NA,NA,0,0
2020-08-11,730443,Tuesday,Janmashtami (Smarta) (R),Restricted,0,0
2020-08-12,736130,Wednesday,Janmashtami (G),Gazetted,0,0
